user_id,age,gender,platform,daily_usage_time_minutes,posts_per_day,likes_received_per_day,comments_received_per_day,messages_sent_per_day,dominant_emotion,daily_usage_time_hours,age_group,usage_time_category
122,24,Female,X,105,4,35,20,23,Anger,2,21-25,2-3 hours
123,29,Male,LinkedIn,60,2,17,8,15,Boredom,1,26-30,1-2 hours
124,33,Non-binary,Instagram,190,8,105,36,50,Happiness,3,31-35,3+ hours
125,22,Female,X,70,3,25,16,15,Sadness,1,21-25,1-2 hours
126,31,Male,Facebook,80,2,20,10,20,Neutral,1,31-35,1-2 hours
127,27,Non-binary,LinkedIn,55,1,12,5,11,Anxiety,1,26-30,1-2 hours
128,25,Female,Instagram,160,6,85,26,30,Happiness,3,21-25,3+ hours
129,30,Male,X,90,4,43,19,24,Anger,2,26-30,2-3 hours
130,26,Non-binary,Facebook,45,1,8,4,12,Sadness,1,26-30,1-2 hours
131,34,Female,LinkedIn,65,2,17,5,14,Boredom,1,31-35,1-2 hours
132,28,Male,Instagram,145,7,80,30,35,Happiness,2,26-30,2-3 hours
133,23,Non-binary,X,70,3,30,14,18,Neutral,1,21-25,1-2 hours
134,21,Female,Instagram,130,6,95,22,28,Sadness,2,21-25,2-3 hours
135,29,Male,Facebook,65,2,27,11,22,Anxiety,1,26-30,1-2 hours
136,24,Non-binary,LinkedIn,55,1,11,6,11,Boredom,1,21-25,1-2 hours
137,33,Female,Instagram,170,7,95,30,38,Happiness,3,31-35,3+ hours
138,27,Male,X,85,4,45,18,24,Anger,1,26-30,1-2 hours
139,22,Female,Instagram,115,3,60,17,30,Neutral,2,21-25,2-3 hours
140,28,Non-binary,Facebook,100,2,22,12,25,Anxiety,2,26-30,2-3 hours
141,31,Male,LinkedIn,45,1,9,4,10,Sadness,1,31-35,1-2 hours
142,25,Female,Instagram,150,6,90,26,30,Happiness,3,21-25,3+ hours
143,29,Male,X,95,4,50,22,22,Anger,2,26-30,2-3 hours
144,23,Non-binary,Facebook,105,2,25,12,18,Neutral,2,21-25,2-3 hours
145,35,Female,LinkedIn,60,1,15,7,14,Boredom,1,31-35,1-2 hours
146,30,Male,Instagram,175,7,100,33,38,Happiness,3,26-30,3+ hours
147,21,Female,X,90,3,37,14,20,Sadness,2,21-25,2-3 hours
148,26,Non-binary,Facebook,75,2,30,12,18,Anxiety,1,26-30,1-2 hours
149,32,Male,Instagram,130,5,80,28,31,Neutral,2,31-35,2-3 hours
150,28,Female,LinkedIn,55,1,12,6,10,Boredom,1,26-30,1-2 hours
151,27,Male,Instagram,165,6,85,30,28,Happiness,3,26-30,3+ hours
152,24,Female,X,75,3,33,18,19,Anger,1,21-25,1-2 hours
153,29,Non-binary,Facebook,85,2,27,9,20,Neutral,1,26-30,1-2 hours
154,33,Female,Instagram,145,4,65,23,35,Sadness,2,31-35,2-3 hours
155,31,Male,LinkedIn,60,1,15,7,17,Anxiety,1,31-35,1-2 hours
156,22,Female,Whatsapp,70,2,42,10,21,Anxiety,1,21-25,1-2 hours
157,25,Male,Telegram,90,3,22,11,22,Boredom,2,21-25,2-3 hours
158,29,Non-binary,Snapchat,50,2,18,7,18,Sadness,1,26-30,1-2 hours
159,28,Female,X,95,4,48,22,25,Happiness,2,26-30,2-3 hours
160,27,Male,Facebook,60,1,12,5,15,Boredom,1,26-30,1-2 hours
161,30,Female,Instagram,175,6,72,30,33,Happiness,3,26-30,3+ hours
162,23,Male,Whatsapp,70,3,22,10,18,Anger,1,21-25,1-2 hours
163,34,Non-binary,Telegram,80,2,21,8,20,Neutral,1,31-35,1-2 hours
164,26,Female,Snapchat,120,4,55,18,30,Anxiety,2,26-30,2-3 hours
165,25,Male,X,90,6,42,14,26,Sadness,2,21-25,2-3 hours
166,29,Non-binary,Facebook,60,1,12,4,12,Boredom,1,26-30,1-2 hours
167,28,Male,Instagram,165,5,78,23,35,Happiness,3,26-30,3+ hours
168,31,Female,Whatsapp,65,2,27,10,20,Neutral,1,31-35,1-2 hours
169,27,Male,Telegram,105,3,48,20,28,Anxiety,2,26-30,2-3 hours
170,22,Non-binary,Snapchat,75,2,21,8,20,Sadness,1,21-25,1-2 hours
171,24,Female,Instagram,140,4,65,22,30,Happiness,2,21-25,2-3 hours
172,35,Male,X,70,1,13,8,10,Boredom,1,31-35,1-2 hours
173,21,Non-binary,Facebook,55,3,17,7,12,Neutral,1,21-25,1-2 hours
174,29,Female,Whatsapp,90,2,24,12,22,Anger,2,26-30,2-3 hours
175,25,Male,Telegram,80,4,30,13,25,Neutral,1,21-25,1-2 hours
176,28,Non-binary,Snapchat,115,3,38,18,27,Anxiety,2,26-30,2-3 hours
177,32,Female,Instagram,155,6,75,25,38,Happiness,3,31-35,3+ hours
178,26,Male,X,75,2,23,12,18,Sadness,1,26-30,1-2 hours
179,33,Non-binary,Facebook,65,1,13,7,14,Anxiety,1,31-35,1-2 hours
180,27,Female,Whatsapp,90,4,37,18,20,Neutral,2,26-30,2-3 hours
181,31,Male,Telegram,50,2,20,10,12,Sadness,1,31-35,1-2 hours
182,24,Non-binary,Snapchat,85,3,33,20,18,Happiness,1,21-25,1-2 hours
183,34,Female,Instagram,120,5,60,25,25,Anger,2,31-35,2-3 hours
184,22,Male,X,70,1,22,7,22,Neutral,1,21-25,1-2 hours
185,29,Non-binary,Facebook,75,2,20,8,20,Boredom,1,26-30,1-2 hours
186,28,Female,Whatsapp,100,4,37,14,26,Anxiety,2,26-30,2-3 hours
187,31,Male,Telegram,85,3,45,20,28,Sadness,1,31-35,1-2 hours
188,21,Non-binary,Snapchat,60,1,18,7,12,Neutral,1,21-25,1-2 hours
189,25,Female,Instagram,170,6,83,30,33,Happiness,3,21-25,3+ hours
190,30,Male,X,70,2,30,12,20,Anxiety,1,26-30,1-2 hours
191,27,Non-binary,Facebook,50,1,10,4,10,Boredom,1,26-30,1-2 hours
192,32,Female,Whatsapp,105,4,55,25,25,Anger,2,31-35,2-3 hours
193,24,Male,Telegram,75,3,37,16,22,Neutral,1,21-25,1-2 hours
194,29,Female,Snapchat,95,2,23,10,28,Sadness,2,26-30,2-3 hours
195,26,Male,Instagram,150,5,70,25,30,Anxiety,3,26-30,3+ hours
196,33,Non-binary,X,85,4,35,18,18,Boredom,1,31-35,1-2 hours
197,22,Female,Facebook,70,1,14,6,10,Neutral,1,21-25,1-2 hours
198,35,Male,Whatsapp,110,3,50,25,25,Happiness,2,31-35,2-3 hours
199,28,Non-binary,Telegram,60,2,18,8,18,Anger,1,26-30,1-2 hours
200,27,Female,Snapchat,120,4,40,18,22,Neutral,2,26-30,2-3 hours
201,25,Female,Instagram,120,5,50,20,25,Happiness,2,21-25,2-3 hours
202,30,Male,X,90,4,30,20,22,Anger,2,26-30,2-3 hours
203,22,Non-binary,Facebook,60,2,20,10,15,Neutral,1,21-25,1-2 hours
204,28,Female,Instagram,200,8,110,40,45,Anxiety,3,26-30,3+ hours
205,33,Male,LinkedIn,45,1,10,5,12,Boredom,1,31-35,1-2 hours
206,21,Male,Instagram,150,5,65,25,30,Happiness,3,21-25,3+ hours
207,27,Female,X,85,3,40,18,20,Anger,1,26-30,1-2 hours
208,24,Non-binary,Facebook,110,6,35,16,25,Sadness,2,21-25,2-3 hours
209,29,Female,LinkedIn,55,2,15,5,10,Neutral,1,26-30,1-2 hours
210,31,Male,Instagram,170,7,90,35,40,Happiness,3,31-35,3+ hours
211,23,Female,X,75,4,45,20,25,Anxiety,1,21-25,1-2 hours
212,26,Non-binary,Facebook,95,3,30,14,18,Sadness,2,26-30,2-3 hours
213,34,Male,LinkedIn,65,1,14,6,15,Boredom,1,31-35,1-2 hours
214,22,Female,Instagram,180,8,100,38,45,Happiness,3,21-25,3+ hours
215,28,Male,X,100,6,50,30,29,Anger,2,26-30,2-3 hours
216,21,Non-binary,Facebook,40,1,10,4,12,Neutral,1,21-25,1-2 hours
217,35,Female,Instagram,125,5,65,22,28,Anxiety,2,31-35,2-3 hours
218,27,Male,X,90,3,40,16,24,Sadness,2,26-30,2-3 hours
219,23,Non-binary,LinkedIn,50,1,12,6,12,Neutral,1,21-25,1-2 hours
220,32,Female,Instagram,140,6,75,28,30,Happiness,2,31-35,2-3 hours
221,26,Male,Facebook,75,2,30,14,20,Anxiety,1,26-30,1-2 hours
222,24,Female,X,105,4,35,20,23,Anger,2,21-25,2-3 hours
223,29,Male,LinkedIn,60,2,17,8,15,Boredom,1,26-30,1-2 hours
224,33,Non-binary,Instagram,190,8,105,36,50,Happiness,3,31-35,3+ hours
225,22,Female,X,70,3,25,16,15,Sadness,1,21-25,1-2 hours
226,31,Male,Facebook,80,2,20,10,20,Neutral,1,31-35,1-2 hours
227,27,Non-binary,LinkedIn,55,1,12,5,11,Anxiety,1,26-30,1-2 hours
228,25,Female,Instagram,160,6,85,26,30,Happiness,3,21-25,3+ hours
229,30,Male,X,90,4,43,19,24,Anger,2,26-30,2-3 hours
230,26,Non-binary,Facebook,45,1,8,4,12,Sadness,1,26-30,1-2 hours
231,34,Female,LinkedIn,65,2,17,5,14,Boredom,1,31-35,1-2 hours
232,28,Male,Instagram,145,7,80,30,35,Happiness,2,26-30,2-3 hours
233,23,Non-binary,X,70,3,30,14,18,Neutral,1,21-25,1-2 hours
234,21,Female,Instagram,130,6,95,22,28,Sadness,2,21-25,2-3 hours
235,29,Male,Facebook,65,2,27,11,22,Anxiety,1,26-30,1-2 hours
236,24,Non-binary,LinkedIn,55,1,11,6,11,Boredom,1,21-25,1-2 hours
237,33,Female,Instagram,170,7,95,30,38,Happiness,3,31-35,3+ hours
238,27,Male,X,85,4,45,18,24,Anger,1,26-30,1-2 hours
239,22,Female,Instagram,115,3,60,17,30,Neutral,2,21-25,2-3 hours
240,28,Non-binary,Facebook,100,2,22,12,25,Anxiety,2,26-30,2-3 hours
241,31,Male,LinkedIn,45,1,9,4,10,Sadness,1,31-35,1-2 hours
242,25,Female,Instagram,150,6,90,26,30,Happiness,3,21-25,3+ hours
243,29,Male,X,95,4,50,22,22,Anger,2,26-30,2-3 hours
244,23,Non-binary,Facebook,105,2,25,12,18,Neutral,2,21-25,2-3 hours
245,35,Female,LinkedIn,60,1,15,7,14,Boredom,1,31-35,1-2 hours
246,30,Male,Instagram,175,7,100,33,38,Happiness,3,26-30,3+ hours
247,21,Female,X,90,3,37,14,20,Sadness,2,21-25,2-3 hours
248,26,Non-binary,Facebook,75,2,30,12,18,Anxiety,1,26-30,1-2 hours
249,32,Male,Instagram,130,5,80,28,31,Neutral,2,31-35,2-3 hours
250,28,Female,LinkedIn,55,1,12,6,10,Boredom,1,26-30,1-2 hours
251,27,Male,Instagram,165,6,85,30,28,Happiness,3,26-30,3+ hours
252,24,Female,X,75,3,33,18,19,Anger,1,21-25,1-2 hours
253,29,Non-binary,Facebook,85,2,27,9,20,Neutral,1,26-30,1-2 hours
254,33,Female,Instagram,145,4,65,23,35,Sadness,2,31-35,2-3 hours
255,31,Male,LinkedIn,60,1,15,7,17,Anxiety,1,31-35,1-2 hours
256,22,Female,Whatsapp,70,2,42,10,21,Anxiety,1,21-25,1-2 hours
257,25,Male,Telegram,90,3,22,11,22,Boredom,2,21-25,2-3 hours
258,29,Non-binary,Snapchat,50,2,18,7,18,Sadness,1,26-30,1-2 hours
259,28,Female,X,95,4,48,22,25,Happiness,2,26-30,2-3 hours
260,27,Male,Facebook,60,1,12,5,15,Boredom,1,26-30,1-2 hours
261,30,Female,Instagram,175,6,72,30,33,Happiness,3,26-30,3+ hours
262,23,Male,Whatsapp,70,3,22,10,18,Anger,1,21-25,1-2 hours
263,34,Non-binary,Telegram,80,2,21,8,20,Neutral,1,31-35,1-2 hours
264,26,Female,Snapchat,120,4,55,18,30,Anxiety,2,26-30,2-3 hours
265,25,Male,X,90,6,42,14,26,Sadness,2,21-25,2-3 hours
266,29,Non-binary,Facebook,60,1,12,4,12,Boredom,1,26-30,1-2 hours
267,28,Male,Instagram,165,5,78,23,35,Happiness,3,26-30,3+ hours
268,31,Female,Whatsapp,65,2,27,10,20,Neutral,1,31-35,1-2 hours
269,27,Male,Telegram,105,3,48,20,28,Anxiety,2,26-30,2-3 hours
270,22,Non-binary,Snapchat,75,2,21,8,20,Sadness,1,21-25,1-2 hours
271,24,Female,Instagram,140,4,65,22,30,Happiness,2,21-25,2-3 hours
272,35,Male,X,70,1,13,8,10,Boredom,1,31-35,1-2 hours
273,21,Non-binary,Facebook,55,3,17,7,12,Neutral,1,21-25,1-2 hours
274,29,Female,Whatsapp,90,2,24,12,22,Anger,2,26-30,2-3 hours
275,25,Male,Telegram,80,4,30,13,25,Neutral,1,21-25,1-2 hours
276,28,Non-binary,Snapchat,115,3,38,18,27,Anxiety,2,26-30,2-3 hours
277,32,Female,Instagram,155,6,75,25,38,Happiness,3,31-35,3+ hours
278,26,Male,X,75,2,23,12,18,Sadness,1,26-30,1-2 hours
279,33,Non-binary,Facebook,65,1,13,7,14,Anxiety,1,31-35,1-2 hours
280,27,Female,Whatsapp,90,4,37,18,20,Neutral,2,26-30,2-3 hours
281,31,Male,Telegram,50,2,20,10,12,Sadness,1,31-35,1-2 hours
282,24,Non-binary,Snapchat,85,3,33,20,18,Happiness,1,21-25,1-2 hours
283,34,Female,Instagram,120,5,60,25,25,Anger,2,31-35,2-3 hours
284,22,Male,X,70,1,22,7,22,Neutral,1,21-25,1-2 hours
285,29,Non-binary,Facebook,75,2,20,8,20,Boredom,1,26-30,1-2 hours
286,28,Female,Whatsapp,100,4,37,14,26,Anxiety,2,26-30,2-3 hours
287,31,Male,Telegram,85,3,45,20,28,Sadness,1,31-35,1-2 hours
288,21,Non-binary,Snapchat,60,1,18,7,12,Neutral,1,21-25,1-2 hours
289,25,Female,Instagram,170,6,83,30,33,Happiness,3,21-25,3+ hours
290,30,Male,X,70,2,30,12,20,Anxiety,1,26-30,1-2 hours
291,27,Non-binary,Facebook,50,1,10,4,10,Boredom,1,26-30,1-2 hours
292,32,Female,Whatsapp,105,4,55,25,25,Anger,2,31-35,2-3 hours
293,24,Male,Telegram,75,3,37,16,22,Neutral,1,21-25,1-2 hours
294,29,Female,Snapchat,95,2,23,10,28,Sadness,2,26-30,2-3 hours
295,26,Male,Instagram,150,5,70,25,30,Anxiety,3,26-30,3+ hours
296,33,Non-binary,X,85,4,35,18,18,Boredom,1,31-35,1-2 hours
297,22,Female,Facebook,70,1,14,6,10,Neutral,1,21-25,1-2 hours
298,35,Male,Whatsapp,110,3,50,25,25,Happiness,2,31-35,2-3 hours
299,28,Non-binary,Telegram,60,2,18,8,18,Anger,1,26-30,1-2 hours
300,27,Female,Snapchat,120,4,40,18,22,Neutral,2,26-30,2-3 hours
301,25,Female,Instagram,120,5,50,20,25,Happiness,2,21-25,2-3 hours
302,30,Male,X,90,4,30,20,22,Anger,2,26-30,2-3 hours
303,22,Non-binary,Facebook,60,2,20,10,15,Neutral,1,21-25,1-2 hours
304,28,Female,Instagram,200,8,110,40,45,Anxiety,3,26-30,3+ hours
305,33,Male,LinkedIn,45,1,10,5,12,Boredom,1,31-35,1-2 hours
306,21,Male,Instagram,150,5,65,25,30,Happiness,3,21-25,3+ hours
307,27,Female,X,85,3,40,18,20,Anger,1,26-30,1-2 hours
308,24,Non-binary,Facebook,110,6,35,16,25,Sadness,2,21-25,2-3 hours
309,29,Female,LinkedIn,55,2,15,5,10,Neutral,1,26-30,1-2 hours
310,31,Male,Instagram,170,7,90,35,40,Happiness,3,31-35,3+ hours
311,23,Female,X,75,4,45,20,25,Anxiety,1,21-25,1-2 hours
312,26,Non-binary,Facebook,95,3,30,14,18,Sadness,2,26-30,2-3 hours
313,34,Male,LinkedIn,65,1,14,6,15,Boredom,1,31-35,1-2 hours
314,22,Female,Instagram,180,8,100,38,45,Happiness,3,21-25,3+ hours
315,28,Male,X,100,6,50,30,29,Anger,2,26-30,2-3 hours
316,21,Non-binary,Facebook,40,1,10,4,12,Neutral,1,21-25,1-2 hours
317,35,Female,Instagram,125,5,65,22,28,Anxiety,2,31-35,2-3 hours
318,27,Male,X,90,3,40,16,24,Sadness,2,26-30,2-3 hours
319,23,Non-binary,LinkedIn,50,1,12,6,12,Neutral,1,21-25,1-2 hours
320,32,Female,Instagram,140,6,75,28,30,Happiness,2,31-35,2-3 hours
321,26,Male,Facebook,75,2,30,14,20,Anxiety,1,26-30,1-2 hours
322,24,Female,X,105,4,35,20,23,Anger,2,21-25,2-3 hours
323,29,Male,LinkedIn,60,2,17,8,15,Boredom,1,26-30,1-2 hours
324,33,Non-binary,Instagram,190,8,105,36,50,Happiness,3,31-35,3+ hours
325,22,Female,X,70,3,25,16,15,Sadness,1,21-25,1-2 hours
326,31,Male,Facebook,80,2,20,10,20,Neutral,1,31-35,1-2 hours
327,27,Non-binary,LinkedIn,55,1,12,5,11,Anxiety,1,26-30,1-2 hours
328,25,Female,Instagram,160,6,85,26,30,Happiness,3,21-25,3+ hours
329,30,Male,X,90,4,43,19,24,Anger,2,26-30,2-3 hours
330,26,Non-binary,Facebook,45,1,8,4,12,Sadness,1,26-30,1-2 hours
331,34,Female,LinkedIn,65,2,17,5,14,Boredom,1,31-35,1-2 hours
332,28,Male,Instagram,145,7,80,30,35,Happiness,2,26-30,2-3 hours
333,23,Non-binary,X,70,3,30,14,18,Neutral,1,21-25,1-2 hours
334,21,Female,Instagram,130,6,95,22,28,Sadness,2,21-25,2-3 hours
335,29,Male,Facebook,65,2,27,11,22,Anxiety,1,26-30,1-2 hours
336,24,Non-binary,LinkedIn,55,1,11,6,11,Boredom,1,21-25,1-2 hours
337,33,Female,Instagram,170,7,95,30,38,Happiness,3,31-35,3+ hours
338,27,Male,X,85,4,45,18,24,Anger,1,26-30,1-2 hours
339,22,Female,Instagram,115,3,60,17,30,Neutral,2,21-25,2-3 hours
340,28,Non-binary,Facebook,100,2,22,12,25,Anxiety,2,26-30,2-3 hours
